rag_concepts,non_rag_concepts
plastic pollution,soil micronutrient depletion
fossil fuel-derived polymers,irrigation water contamination
greenhouse gas emissions,mycotoxin accumulation
toxic air emissions,heavy metal uptake
water contamination,antibiotic residues
soil contamination,endocrine-disrupting agrochemicals
chemical residues,nitrate leaching
pollutant exposure,microplastic ingestion
food packaging contaminants,climate-induced crop stress
environmental pollutants in food systems,salinity intrusion
food availability,aflatoxin contamination
food utilization,zoonotic spillover
food production,soil microbiome disruption
under-nutrition,crop genetic erosion
malnutrition,photochemical smog deposition
balanced diet,bioaccumulation in aquatic food webs
nutritional deficiency,post-harvest fungal growth
diet-related health outcomes,pesticide drift
toxic emissions,nutrient runoff eutrophication
air pollution,thermal stress on livestock
water pollution,ultraviolet radiation effects on crops
plastic chemical contamination,volatile organic compound emissions
endocrine disruption,soil carbon loss
chemical persistence,acid rain impact on crops
bioaccumulation,vector proliferation in irrigated fields
chemical mobility,algal toxin transfer
food packaging contamination,waterborne pathogen contamination
plastic migration into food,dust-borne contaminants
agricultural plastic pollution,atmospheric nitrogen deposition
aquaculture plastic pollution,food irradiation byproducts
microplastic pollution,
nanoplastic pollution,
macroplastic pollution,
undernutrition,
micronutrient deficiency,
vitamin a deficiency,
zinc deficiency,
iodine deficiency,
anemia,
low birth weight,
child stunting,
child wasting,
overweight,
obesity,
nutrition insecurity,
food demand,
water supply,
agricultural sustainability,
crop yield,
soil fertility,
nutrition security,
food supply,
agricultural resources,
microplastic contamination,
plastic-associated chemical exposure,
food contact chemical migration,
polymer leaching,
contaminated food packaging,
chemical additives in plastics,
environmental plastic degradation,
soil contamination from plastics,
water contamination from plastics,
bioaccumulation of plastic-derived toxins,
agricultural plastic waste,
plastic mulch residues,
food chain contamination,
endocrine-disrupting chemicals,
persistent organic pollutants,
toxicant transfer to crops,
environmental chemical exposure,
food safety risk from packaging materials,
